profile,D_over_C,alpha_integrated,zeta_omega_Lw_over_C,P_C_reflect,P_D_reflect_left,P_C_transmit,P_D_transmit_forward,P_D_total,two_wall_forward_echo,delta_wall_forward_P,forward_over_delta,born_forward_over_delta,born_backward_over_delta,flux_sum,flux_error
sech2,1.000000000e+00,1.000000000e-02,1.000000000e+00,1.479716325e-09,7.397961782e-06,9.998926031e-01,9.999744564e-05,1.073954074e-04,9.999489134e-09,9.998000300e-05,1.000174461e+00,1.000000000e+00,7.399980675e-02,1.000000000e+00,1.443289932e-14
sech2,1.000000000e+00,1.000000000e-02,3.000000000e+00,2.310828978e-13,2.310097504e-10,9.999000030e-01,9.999678419e-05,9.999701520e-05,9.999356849e-09,9.998000300e-05,1.000167846e+00,1.000000000e+00,2.313897563e-06,1.000000000e+00,2.775557562e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e+01,5.020168591e-24,4.972736921e-21,9.999000034e-01,9.999663513e-05,9.999663513e-05,9.999327037e-09,9.998000300e-05,1.000166355e+00,1.000000000e+00,2.036257326e-24,1.000000000e+00,9.103828802e-15
sech2,1.000000000e+00,1.000000000e-02,3.000000000e+01,5.585885908e-25,2.306164256e-21,9.999000034e-01,9.999662318e-05,9.999662318e-05,9.999324648e-09,9.998000300e-05,1.000166235e+00,1.000000000e+00,4.875520823e-78,1.000000000e+00,3.996802889e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e-03,9.802929887e-05,9.802924300e-03,9.802960895e-01,9.802956874e-03,1.960588117e-02,9.609796348e-05,9.802960494e-03,9.999996307e-01,1.000000000e+00,9.999967101e-01,1.000000000e+00,3.075317778e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e-02,9.800765055e-05,9.799769822e-03,9.802991959e-01,9.803026653e-03,1.960279648e-02,9.609933157e-05,9.802960494e-03,1.000006749e+00,1.000000000e+00,9.996710781e-01,1.000000000e+00,3.519406988e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e-01,9.587117009e-05,9.490346215e-03,9.806039262e-01,9.809856463e-03,1.930020268e-02,9.623328382e-05,9.802960494e-03,1.000703458e+00,1.000000000e+00,9.677406780e-01,1.000000000e+00,2.220446049e-15
sech2,1.000000000e+00,1.000000000e-01,3.000000000e-01,8.048945554e-05,7.373934928e-03,9.826899065e-01,9.855669113e-03,1.722960404e-02,9.713421367e-05,9.802960494e-03,1.005376806e+00,1.000000000e+00,7.499228056e-01,1.000000000e+00,1.643130076e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e+00,1.475058611e-05,7.371585402e-04,9.892733925e-01,9.974698379e-03,1.071185692e-02,9.949460776e-05,9.802960494e-03,1.017518982e+00,1.000000000e+00,7.399980675e-02,1.000000000e+00,5.218048216e-15
sech2,1.000000000e+00,1.000000000e-01,3.000000000e+00,2.328433748e-09,2.436737263e-08,9.900316516e-01,9.968321656e-03,9.968346023e-03,9.936743664e-05,9.802960494e-03,1.016868492e+00,1.000000000e+00,2.313897563e-06,1.000000000e+00,2.176037128e-14
sech2,1.000000000e+00,1.000000000e-01,1.000000000e+01,4.955378235e-20,4.885156029e-19,9.900331600e-01,9.966840015e-03,9.966840015e-03,9.933789989e-05,9.802960494e-03,1.016717350e+00,1.000000000e+00,2.036257326e-24,1.000000000e+00,1.065814104e-14
sech2,1.000000000e+00,1.000000000e-01,3.000000000e+01,5.547417456e-21,2.261500186e-19,9.900332787e-01,9.966721336e-03,9.966721336e-03,9.933553418e-05,9.802960494e-03,1.016705243e+00,1.000000000e+00,4.875520823e-78,1.000000000e+00,2.842170943e-14
sech2,1.000000000e+00,1.000000000e+00,1.000000000e-03,2.499998150e-01,2.499991775e-01,2.500001850e-01,2.500008225e-01,5.000000000e-01,6.250041126e-02,2.500000000e-01,1.000003290e+00,1.000000000e+00,9.999967101e-01,1.000000000e+00,1.176836406e-14
sech2,1.000000000e+00,1.000000000e+00,1.000000000e-02,2.499926333e-01,2.499177674e-01,2.500073533e-01,2.500822460e-01,5.000000134e-01,6.254112977e-02,2.500000000e-01,1.000328984e+00,1.000000000e+00,9.996710781e-01,1.000000000e+00,1.598721155e-14
sech2,1.000000000e+00,1.000000000e+00,1.000000000e-01,2.492081357e-01,2.419576164e-01,2.506601213e-01,2.581741266e-01,5.001317430e-01,6.665387964e-02,2.500000000e-01,1.032696506e+00,1.000000000e+00,9.677406780e-01,1.000000000e+00,1.332267630e-15
sech2,1.000000000e+00,1.000000000e+00,3.000000000e-01,2.389152523e-01,1.896976239e-01,2.520014947e-01,3.193856291e-01,5.090832530e-01,1.020071800e-01,2.500000000e-01,1.277542516e+00,1.000000000e+00,7.499228056e-01,1.000000000e+00,5.551115123e-15
